WELL_ID,WELL_NAME,WELL_TYPE,HOST_WELL_ID,STATUS,NORTHING,EASTING,SORT_NAME
C7531,299-E13-109,VADOSE WELL,,IN-USE,134363.87,573589.22,1-0299-E0013A-A0109A
C8152,C8152,BORING,,DECOMMISSIONED-V,133282.09,567668.71,9-C8152-C8152A-A0001A
C8157,C8157,BORING,,DECOMMISSIONED-V,133296.52,567654.34,9-C8157-C8157A-A0001A
C6631,C6631,BORING,,DECOMMISSIONED-V,136740.99,573772.63,9-C6631-C6631A-A0001A
C6636,C6636,BORING,,DECOMMISSIONED-V,137228.09,573997.65,9-C6636-C6636A-A0001A
C6649,C6649,BORING,,DECOMMISSIONED-V,135604.72,575729.73,9-C6649-C6649A-A0001A
C7168,C7168,BORING,,DECOMMISSIONED-V,134162.47,566825.42,9-C7168-C7168A-A0001A
C7178,C7178,BORING,,DECOMMISSIONED-V,134217.64,566744.86,9-C7178-C7178A-A0001A
C7533,299-E13-111,VADOSE WELL,,IN-USE,134365.11,573586.11,1-0299-E0013A-A0111A
C7525,299-E13-103,VADOSE WELL,,IN-USE,134360.99,573585.19,1-0299-E0013A-A0103A
C8089,C8089,CANCELLED SITE,,DRILLING CANCELLED,136031.73,566748.09,9-C8089-C8089A-A0001A
C8093,C8093,LYSIMETER HOST,,CANDIDATE FOR DECOMMISSIONING,133277.42,574945.59,9-C8093-C8093A-A0001A
C8096,299-W22-91,GROUNDWATER WELL,,IN-USE,134134.53,566911.76,1-0299-W0022A-A0091A
C6595,C6595,BORING,,DECOMMISSIONED-V,136531.7,573142.44,9-C6595-C6595A-A0001A
C6601,C6601,BORING,,DECOMMISSIONED-V,133766.64,566912.23,9-C6601-C6601A-A0001A
C6607,C6607,BORING,,DECOMMISSIONED-V,136843.75,573655.29,9-C6607-C6607A-A0001A
C6609,C6609,BORING,,DECOMMISSIONED-V,136899.62,567526.73,9-C6609-C6609A-A0001A
C7471,C7471,INSTRUMENT BORING,,DECOMMISSIONED-V,136588.6,575240.6,9-C7471-C7471A-A0001A
C6613,C6613,BORING,,DECOMMISSIONED-V,136898.73,567500.26,9-C6613-C6613A-A0001A
C8249,C8249,SOIL TUBE,,CANDIDATE FOR DECOMMISSIONING,135016.31,566574.95,9-C8249-C8249A-A0001A
C8253,C8253,SOIL TUBE,,CANDIDATE FOR DECOMMISSIONING,135035.56,566574.63,9-C8253-C8253A-A0001A
C6768,C6768,SOIL TUBE,,DECOMMISSIONED-V,134441.4,573226.6,9-C6768-C6768A-A0001A
C6798,C6798,BORING,,DECOMMISSIONED-V,134405.58,573652.96,9-C6798-C6798A-A0001A
C7264,C7264,BORING,,DECOMMISSIONED-V,135712.918,566269.816,9-C7264-C7264A-A0001A
C7276,C7276,BORING,,DECOMMISSIONED-V,135705.327,566235.779,9-C7276-C7276A-A0001A
C7281,C7281,BORING,,DECOMMISSIONED-V,135705.699,566279.585,9-C7281-C7281A-A0001A
C7284,C7284,BORING,,DECOMMISSIONED-V,135632.042,566133.978,9-C7284-C7284A-A0001A
C7285,C7285,BORING,,DECOMMISSIONED-V,135632.185,566152.331,9-C7285-C7285A-A0001A
C6827,C6827,CANCELLED SITE,,DRILLING CANCELLED,137118.9,567279.71,9-C6827-C6827A-A0001A
