name,x,y,avg_ctet_2018_2020,type,hs,ind3_4,ind34,ind50,ind100,ind500,ind1000,ind1500
699-33-76,566621.21,133600.43,2.5,MONITORING,UU/MU,1,1,1,1,1,1,1
699-34-61,571395.863,133809.862,0.463333333,MONITORING,UU/MU,1,1,1,1,1,1,1
699-35-66A,569857.861,134099.244,0.918333333,MONITORING,UU/MU,1,1,1,1,1,1,1
699-35-78A,566063.586,134271.27,20.975,MONITORING,UU/MU,0,1,1,1,1,1,1
699-36-61A,571395.472,134557.106,0.19,MONITORING,UU/MU,1,1,1,1,1,1,1
699-36-63B,570683.53,134228.69,0.890909091,CHARACTERIZATION,UU/MU,1,1,1,1,1,1,1
699-36-65,570034.24,134468.75,1.686666667,MONITORING,UU/MU,1,1,1,1,1,1,1
699-36-66B,569731.34,134469.01,2.643333333,MONITORING,UU/MU,1,1,1,1,1,1,1
699-36-70A,568466.679,134308.839,2.0925,MONITORING,UU/MU,1,1,1,1,1,1,1
699-36-70B,568427.79,134625.98,10.47,MONITORING,UU/MU,0,1,1,1,1,1,1
699-37-66,569730.32,134797.15,1.85,MONITORING,UU/MU,1,1,1,1,1,1,1
699-37-67,569520.26,134957.52,4.945,MONITORING,UU/MU,0,1,1,1,1,1,1
699-38-61,571219.097,134997.282,0.311,MONITORING,UU/MU,1,1,1,1,1,1,1
699-38-64B,569900.22,135319.93,3.36875,CHARACTERIZATION,UU/MU,1,1,1,1,1,1,1
699-38-65,570090.185,135039.847,1.15,MONITORING,UU/MU,1,1,1,1,1,1,1
699-38-68A,569180.305,134931.603,5.2,MONITORING,UU/MU,0,1,1,1,1,1,1
699-38-70B,568469.1,135331.04,72.33333333,MONITORING,UU/MU,0,0,0,1,1,1,1
699-38-70C,569084.11,135325.58,16.33333333,MONITORING,UU/MU,0,1,1,1,1,1,1
699-39-68,569077.9,135332.77,13.704,CHARACTERIZATION,UU/MU,0,1,1,1,1,1,1
699-40-62,571164.26,135764.42,0.453333333,MONITORING,UU/MU,1,1,1,1,1,1,1
699-40-65,570057.48,135881.16,5.446666667,MONITORING,UU/MU,0,1,1,1,1,1,1
699-43-69,568967.03,136488.48,216.6666667,MONITORING,UU/MU,0,0,0,0,1,1,1
699-44-64,570390.65,136897.43,14.5,MONITORING,UU/MU,0,1,1,1,1,1,1
699-45-69A,568729.3,137182.679,0.19,MONITORING,UU/MU,1,1,1,1,1,1,1
699-46-61,571431.17,137442.38,0.278,CHARACTERIZATION,UU/MU,1,1,1,1,1,1,1
699-47-60,571474.38,137968.732,0.544333333,MONITORING,UU/MU,1,1,1,1,1,1,1
699-48-71,568387.914,138056.941,163.6666667,MONITORING,UU/MU,0,0,0,0,1,1,1
699-48-77C,566468.954,138086.801,0.3,MONITORING,UU/MU,1,1,1,1,1,1,1
699-48-77D,566433.302,138119.268,0.3,MONITORING,UU/MU,1,1,1,1,1,1,1
699-50-74,567359.52,138646.73,0.19,MONITORING,UU/MU,1,1,1,1,1,1,1
699-51-63,570664.4,139148.408,0.544333333,MONITORING,UU/MU,1,1,1,1,1,1,1
