,Unnamed: 0,row,col,x,y,row_col_id,s_mw_uumu,s_ext_uumu,s_mw_lucr,s_ext_lucr,s_cr_cs,s_tec_cs,s_ctet_cs,NORTHING,EASTING,FID,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,ctet_uumu_tdg_s,ctet_lucr_tdg_s,hcr_uumu_tdg_s,hcr_lucr_tdg_s,tec_uumu_tdg_s,tec_lucr_tdg_s
58,58,39,90,569850.0,138950.0,10390090,4,0,4,0,0,0,0,138950.0,569850.0,58,3,2,2,0,3,1,4,3,3,2,1,1,0.0,0.0,0.0,0,0.0,0.0,9.0,6.0,8.0,11.0,9.0,6
59,59,39,91,569950.0,138950.0,10390091,3,0,4,0,0,0,0,138950.0,569950.0,59,2,2,2,0,3,2,4,3,3,2,1,1,0.0,0.0,0.0,0,0.0,0.0,7.0,6.0,8.0,11.0,8.0,6
60,60,39,92,570050.0,138950.0,10390092,3,0,4,0,0,0,0,138950.0,570050.0,60,2,2,2,1,3,2,4,3,3,2,1,1,0.0,0.0,0.0,0,0.0,0.0,7.0,7.0,8.0,11.0,8.0,6
61,61,39,93,570150.0,138950.0,10390093,2,0,4,0,0,0,0,138950.0,570150.0,61,2,2,2,1,3,2,4,3,3,2,1,1,0.0,0.0,0.0,0,0.0,0.0,6.0,7.0,7.0,11.0,7.0,6
62,62,39,94,570250.0,138950.0,10390094,2,0,4,0,0,0,0,138950.0,570250.0,62,2,2,2,1,3,2,4,3,3,2,1,2,0.0,0.0,0.0,0,0.0,0.0,6.0,7.0,7.0,11.0,7.0,7
63,63,39,95,570350.0,138950.0,10390095,1,0,4,0,0,0,0,138950.0,570350.0,63,1,2,3,1,3,2,4,3,3,3,1,2,0.0,0.0,0.0,0,0.0,0.0,4.0,8.0,6.0,11.0,7.0,7
64,64,39,96,570450.0,138950.0,10390096,1,0,4,0,0,0,0,138950.0,570450.0,64,1,3,3,1,3,3,4,3,3,3,1,2,0.0,0.0,0.0,0,0.0,0.0,5.0,8.0,7.0,11.0,7.0,7
65,65,39,97,570550.0,138950.0,10390097,1,0,4,0,0,0,0,138950.0,570550.0,65,1,3,3,1,3,3,4,3,3,3,1,2,0.0,0.0,0.0,0,0.0,0.0,5.0,8.0,7.0,11.0,7.0,7
66,66,39,98,570650.0,138950.0,10390098,0,0,4,0,0,0,0,138950.0,570650.0,66,1,3,3,1,2,3,4,3,3,3,1,2,0.0,0.0,0.0,0,0.0,0.0,4.0,8.0,5.0,11.0,6.0,7
67,67,39,99,570750.0,138950.0,10390099,1,0,4,0,0,0,0,138950.0,570750.0,67,1,3,3,1,2,3,4,3,3,3,1,2,0.0,0.0,0.0,0,0.0,0.0,5.0,8.0,6.0,11.0,7.0,7
68,68,39,100,570850.0,138950.0,10390100,1,0,4,0,0,0,0,138950.0,570850.0,68,1,3,3,1,2,3,4,3,3,3,1,2,0.0,0.0,0.0,0,0.0,0.0,5.0,8.0,6.0,11.0,7.0,7
69,69,39,101,570950.0,138950.0,10390101,1,0,4,0,0,0,0,138950.0,570950.0,69,1,3,3,1,2,3,4,3,3,3,1,2,0.0,0.0,0.0,0,0.0,0.0,5.0,8.0,6.0,11.0,7.0,7
70,70,39,102,571050.0,138950.0,10390102,2,0,4,0,0,0,0,138950.0,571050.0,70,1,3,3,1,2,3,4,3,2,3,1,2,0.0,0.0,0.0,0,0.0,0.0,6.0,8.0,7.0,11.0,7.0,7
71,71,39,103,571150.0,138950.0,10390103,2,0,4,0,0,0,0,138950.0,571150.0,71,1,2,3,1,2,3,4,3,2,3,1,2,0.0,0.0,0.0,0,0.0,0.0,5.0,8.0,7.0,11.0,7.0,7
72,72,39,104,571250.0,138950.0,10390104,3,0,4,0,0,0,0,138950.0,571250.0,72,1,2,3,1,2,3,4,3,2,3,1,2,0.0,0.0,0.0,0,0.0,0.0,6.0,8.0,8.0,11.0,8.0,7
73,73,39,105,571350.0,138950.0,10390105,3,0,4,0,0,0,0,138950.0,571350.0,73,2,2,3,1,2,3,4,3,2,3,2,2,0.0,0.0,0.0,0,0.0,0.0,7.0,8.0,8.0,11.0,8.0,8
74,74,39,106,571450.0,138950.0,10390106,4,0,4,0,0,0,0,138950.0,571450.0,74,2,2,3,1,2,3,4,3,2,3,2,2,0.0,0.0,0.0,0,0.0,0.0,8.0,8.0,9.0,11.0,9.0,8
75,75,39,107,571550.0,138950.0,10390107,4,0,4,0,0,0,0,138950.0,571550.0,75,2,2,3,1,2,3,4,3,2,3,2,2,0.0,0.0,0.0,0,0.0,0.0,8.0,8.0,9.0,11.0,9.0,8
76,76,39,108,571650.0,138950.0,10390108,4,0,4,0,0,0,0,138950.0,571650.0,76,2,2,3,1,2,3,4,3,2,3,2,2,0.0,0.0,0.0,0,0.0,0.0,8.0,8.0,9.0,11.0,9.0,8
77,77,39,109,571750.0,138950.0,10390109,4,0,4,0,0,0,0,138950.0,571750.0,77,2,2,3,1,2,3,4,3,2,3,2,2,0.0,0.0,0.0,0,0.0,0.0,8.0,8.0,9.0,11.0,9.0,8
78,78,39,110,571850.0,138950.0,10390110,4,0,4,0,0,0,0,138950.0,571850.0,78,2,2,3,1,2,3,4,3,2,3,2,2,0.0,0.0,0.0,0,0.0,0.0,8.0,8.0,9.0,11.0,9.0,8
79,79,39,111,571950.0,138950.0,10390111,4,0,4,0,0,0,0,138950.0,571950.0,79,2,2,3,1,2,3,4,3,3,3,2,2,0.0,0.0,0.0,0,0.0,0.0,8.0,8.0,9.0,11.0,10.0,8
80,80,39,112,572050.0,138950.0,10390112,4,0,4,0,0,0,0,138950.0,572050.0,80,2,2,3,1,2,3,4,3,3,3,2,2,0.0,0.0,0.0,0,0.0,0.0,8.0,8.0,9.0,11.0,10.0,8
81,81,39,113,572150.0,138950.0,10390113,4,0,4,0,0,0,0,138950.0,572150.0,81,3,2,3,1,2,3,4,3,3,3,2,2,0.0,0.0,0.0,0,0.0,0.0,9.0,8.0,9.0,11.0,10.0,8
82,82,40,32,564050.0,138850.0,10400032,4,0,4,0,0,0,0,138850.0,564050.0,82,3,2,2,1,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
83,83,40,33,564150.0,138850.0,10400033,4,0,4,0,0,0,0,138850.0,564150.0,83,3,2,2,1,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
84,84,40,34,564250.0,138850.0,10400034,4,0,4,0,0,0,0,138850.0,564250.0,84,3,2,2,1,3,2,4,3,3,2,2,1,0.0,0.0,0.0,0,0.0,0.0,9.0,7.0,9.0,11.0,9.0,7
