row,col,FID,Shape,x,y,row_col_id,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score
73,71,2827,Point,567950,135550,10730071,4,0,4,0,1,1,0,4,0,0,0.0,0.0,0.0,0,2.5,2.5,4,1.0
73,72,2828,Point,568050,135550,10730072,4,0,4,0,1,2,0,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,1.0
73,73,2829,Point,568150,135550,10730073,4,0,4,0,1,2,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,1.0
73,74,2830,Point,568250,135550,10730074,4,0,4,0,1,2,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,75,2831,Point,568350,135550,10730075,4,0,4,0,1,2,4,3,1,1,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,76,2832,Point,568450,135550,10730076,4,0,4,0,1,2,4,3,0,1,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,77,2833,Point,568550,135550,10730077,4,0,4,0,0,1,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,78,2834,Point,568650,135550,10730078,4,0,1,0,0,1,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,79,2835,Point,568750,135550,10730079,4,0,0,0,0,1,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,80,2836,Point,568850,135550,10730080,3,0,0,0,0,1,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,81,2837,Point,568950,135550,10730081,1,0,0,0,0,1,4,3,0,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,82,2838,Point,569050,135550,10730082,0,0,0,0,0,1,4,3,0,1,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,83,2839,Point,569150,135550,10730083,0,0,0,0,0,2,4,3,1,3,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,84,2840,Point,569250,135550,10730084,0,0,0,0,1,4,4,3,1,3,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,85,2841,Point,569350,135550,10730085,0,0,0,0,1,4,4,3,2,1,0.0,0.0,0.0,0,2.5,2.25,4,0.0
73,86,2842,Point,569450,135550,10730086,0,0,0,0,1,4,4,3,2,1,0.0,0.0,0.0,0,2.5,2.25,4,0.0
73,87,2843,Point,569550,135550,10730087,0,0,0,0,1,4,4,3,1,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,88,2844,Point,569650,135550,10730088,0,0,0,0,2,4,4,3,1,0,0.0,0.0,0.0,0,2.5,2.5,4,0.0
73,89,2845,Point,569750,135550,10730089,0,0,0,0,2,4,4,3,1,0,0.0,0.0,0.0,0,2.5,2.5,4,1.0
73,90,2846,Point,569850,135550,10730090,0,1,0,0,2,4,4,3,0,0,0.0,0.0,0.0,0,2.5,0.0,4,1.0
73,91,2847,Point,569950,135550,10730091,0,1,1,0,2,4,4,3,0,0,0.0,0.0,0.0,0,2.5,0.0,4,1.0
73,92,2848,Point,570050,135550,10730092,0,1,1,0,2,4,4,3,0,0,0.0,0.0,0.0,0,2.5,0.0,4,1.0
73,93,2849,Point,570150,135550,10730093,1,4,1,0,3,4,4,3,0,0,0.0,0.0,0.0,0,0.0,0.0,4,1.0
73,94,2850,Point,570250,135550,10730094,3,4,1,0,3,4,4,3,0,0,0.0,0.0,0.0,0,0.0,0.0,4,1.0
73,95,2851,Point,570350,135550,10730095,3,4,1,0,3,4,4,3,1,0,0.0,0.0,0.0,0,0.0,0.0,4,1.0
