,row,col,x,y,row_col_id,s_mw_uumu,dist_m_mw_uumu,mw_near_mw_uumu,s_ext_uumu,dist_m_ew_uumu,ew_near_ew_uumu,s_mw_lucr,dist_m_mw_lucr,mw_near_mw_lucr,s_ext_lucr,dist_m_ew_lucr,ew_near_ew_lucr,s_cr_cs,neardist_m_cr_cs,cl_dist_m_cr_cs,combdist_m_cr_cs,plycnt_cr_cs,raw_s_cr_cs,s_tec_cs,neardist_m_tec_cs,cl_dist_m_tec_cs,combdist_m_tec_cs,plycnt_tec_cs,raw_s_tec_cs,s_ctet_cs,neardist_m_ctet_cs,cl_dist_m_ctet_cs,combdist_m_ctet_cs,plycnt_ctet_cs,raw_s_ctet_cs,NORTHING,EASTING
39,39,71,567950.0,138950.0,10390071,3,663.806691213618,699-50-74,0,1672.4687551640575,299-W5-1,4,972.9065605555339,699-51-75P,0,930.2916304578958,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,567950.0
40,39,72,568050.0,138950.0,10390072,3,754.1454258297719,699-50-74,0,1652.6359965219249,299-W5-1,4,1072.8149773246078,699-51-75P,0,874.7082471887454,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,568050.0
41,39,73,568150.0,138950.0,10390073,4,846.658917923838,699-50-74,0,1638.6762148148791,299-W5-1,4,1172.7390057348643,699-51-75P,0,827.5182884383913,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,568150.0
42,39,74,568250.0,138950.0,10390074,4,903.645200771305,699-48-71,0,1630.7402420373464,299-W5-1,4,1272.6749685493144,699-51-75P,0,790.2268773586493,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,568250.0
43,39,75,568350.0,138950.0,10390075,4,893.863439725003,699-48-71,0,1628.9161233777593,299-W5-1,4,1339.7429788209588,699-46-70,0,764.2843173191499,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,568350.0
44,39,76,568450.0,138950.0,10390076,4,895.2145267348023,699-48-71,0,1633.2243376217582,299-W5-1,4,1317.3751361324714,699-46-70,0,750.8678430323117,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,568450.0
45,39,77,568550.0,138950.0,10390077,4,907.6487475213186,699-48-71,0,1643.6166636415057,299-W5-1,4,1302.3222524782564,699-46-70,0,750.6493973220744,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,568550.0
46,39,78,568650.0,138950.0,10390078,4,930.7220040791021,699-48-71,0,1659.9788363108846,299-W5-1,4,1294.839468544279,699-46-70,0,763.6403064925205,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,568650.0
47,39,79,568750.0,138950.0,10390079,4,963.6704046908478,699-48-71,0,1682.1366582415478,299-W5-1,4,1295.0580100134598,699-46-70,0,789.1885184795759,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,568750.0
48,39,80,568850.0,138950.0,10390080,4,1005.5236689790173,699-48-71,0,1709.8648300377565,299-W5-1,4,1302.9740017744077,699-46-70,0,826.1298431239396,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,568850.0
49,39,81,568950.0,138950.0,10390081,4,1055.222748464525,699-48-71,0,1742.8975119036832,299-W5-1,4,1318.4488042013636,699-46-70,0,873.0191966388725,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,568950.0
50,39,82,569050.0,138950.0,10390082,4,1111.7159029522913,699-48-71,0,1780.939565791061,299-W5-1,4,1341.2208055722956,699-46-70,0,928.3504282866354,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,569050.0
51,39,83,569150.0,138950.0,10390083,4,1174.0227633555623,699-48-71,0,1823.6775309796567,299-W5-1,4,1370.9264200897103,699-46-70,0,990.7101078014581,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,569150.0
52,39,84,569250.0,138950.0,10390084,4,1241.2681615497243,699-48-71,0,1870.789602547561,299-W5-1,4,1407.1265932033198,699-46-70,0,1058.8571753074036,699-48-70,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,138950.0,569250.0
