,row,col,x,y,row_col_id,s_mw_uumu,s_ext_uumu,s_mw_lucr,s_ext_lucr,s_cr_cs,s_tec_cs,s_ctet_cs,NORTHING,EASTING
167,41,35,564350.0,138750.0,10410035,4,0,4,0,0,0,0,138750.0,564350.0
168,41,36,564450.0,138750.0,10410036,4,0,4,0,0,0,0,138750.0,564450.0
169,41,37,564550.0,138750.0,10410037,4,0,4,0,0,0,0,138750.0,564550.0
170,41,38,564650.0,138750.0,10410038,4,0,4,0,0,0,0,138750.0,564650.0
171,41,39,564750.0,138750.0,10410039,4,0,4,0,0,0,0,138750.0,564750.0
172,41,40,564850.0,138750.0,10410040,4,0,4,0,0,0,0,138750.0,564850.0
173,41,41,564950.0,138750.0,10410041,4,0,4,0,0,0,0,138750.0,564950.0
174,41,42,565050.0,138750.0,10410042,4,0,4,0,0,0,0,138750.0,565050.0
175,41,43,565150.0,138750.0,10410043,3,0,4,0,0,0,0,138750.0,565150.0
176,41,44,565250.0,138750.0,10410044,3,0,4,0,0,0,0,138750.0,565250.0
177,41,45,565350.0,138750.0,10410045,3,0,4,0,0,0,0,138750.0,565350.0
178,41,46,565450.0,138750.0,10410046,2,0,4,0,0,0,0,138750.0,565450.0
179,41,47,565550.0,138750.0,10410047,2,0,4,0,0,0,0,138750.0,565550.0
180,41,48,565650.0,138750.0,10410048,2,0,4,0,0,0,0,138750.0,565650.0
181,41,49,565750.0,138750.0,10410049,2,0,4,0,0,0,0,138750.0,565750.0
182,41,50,565850.0,138750.0,10410050,2,0,4,0,0,0,0,138750.0,565850.0
183,41,51,565950.0,138750.0,10410051,2,0,4,0,0,0,0,138750.0,565950.0
184,41,52,566050.0,138750.0,10410052,2,0,4,0,0,0,0,138750.0,566050.0
185,41,53,566150.0,138750.0,10410053,3,0,4,0,0,0,0,138750.0,566150.0
186,41,54,566250.0,138750.0,10410054,3,0,3,0,0,0,0,138750.0,566250.0
187,41,55,566350.0,138750.0,10410055,3,0,3,0,0,0,0,138750.0,566350.0
188,41,56,566450.0,138750.0,10410056,2,0,2,0,0,0,0,138750.0,566450.0
189,41,57,566550.0,138750.0,10410057,2,0,2,0,0,0,0,138750.0,566550.0
190,41,58,566650.0,138750.0,10410058,1,0,1,0,0,0,0,138750.0,566650.0
191,41,59,566750.0,138750.0,10410059,1,0,1,0,0,0,0,138750.0,566750.0
192,41,60,566850.0,138750.0,10410060,1,0,1,0,0,0,0,138750.0,566850.0
193,41,61,566950.0,138750.0,10410061,0,0,0,0,0,0,0,138750.0,566950.0
194,41,62,567050.0,138750.0,10410062,0,0,0,0,0,0,0,138750.0,567050.0
195,41,63,567150.0,138750.0,10410063,1,0,1,0,0,0,0,138750.0,567150.0
196,41,64,567250.0,138750.0,10410064,0,0,1,0,0,0,0,138750.0,567250.0
197,41,65,567350.0,138750.0,10410065,0,0,2,0,0,0,0,138750.0,567350.0
198,41,66,567450.0,138750.0,10410066,0,0,2,0,0,0,0,138750.0,567450.0
199,41,67,567550.0,138750.0,10410067,1,0,2,0,0,0,0,138750.0,567550.0
200,41,68,567650.0,138750.0,10410068,1,0,3,0,0,0,0,138750.0,567650.0
201,41,69,567750.0,138750.0,10410069,2,0,3,0,0,0,0,138750.0,567750.0
202,41,70,567850.0,138750.0,10410070,2,0,4,0,0,0,0,138750.0,567850.0
203,41,71,567950.0,138750.0,10410071,2,0,4,0,0,0,0,138750.0,567950.0
204,41,72,568050.0,138750.0,10410072,3,0,4,0,0,0,0,138750.0,568050.0
205,41,73,568150.0,138750.0,10410073,3,0,4,0,0,0,0,138750.0,568150.0
206,41,74,568250.0,138750.0,10410074,3,0,4,0,0,0,0,138750.0,568250.0
207,41,75,568350.0,138750.0,10410075,3,0,4,0,0,0,0,138750.0,568350.0
208,41,76,568450.0,138750.0,10410076,3,0,4,0,0,0,0,138750.0,568450.0
209,41,77,568550.0,138750.0,10410077,3,0,4,0,0,0,0,138750.0,568550.0
210,41,78,568650.0,138750.0,10410078,3,0,4,0,0,0,0,138750.0,568650.0
211,41,79,568750.0,138750.0,10410079,3,0,4,0,0,0,0,138750.0,568750.0
212,41,80,568850.0,138750.0,10410080,4,0,4,0,0,0,0,138750.0,568850.0
213,41,81,568950.0,138750.0,10410081,4,0,4,0,0,0,0,138750.0,568950.0
214,41,82,569050.0,138750.0,10410082,4,0,4,0,0,0,0,138750.0,569050.0
215,41,83,569150.0,138750.0,10410083,4,0,4,0,0,0,0,138750.0,569150.0
216,41,84,569250.0,138750.0,10410084,4,0,4,0,0,0,0,138750.0,569250.0
217,41,85,569350.0,138750.0,10410085,4,0,4,0,0,0,0,138750.0,569350.0
218,41,86,569450.0,138750.0,10410086,4,0,4,0,0,0,0,138750.0,569450.0
219,41,87,569550.0,138750.0,10410087,4,0,4,0,0,0,0,138750.0,569550.0
220,41,88,569650.0,138750.0,10410088,4,0,4,0,0,0,0,138750.0,569650.0
221,41,89,569750.0,138750.0,10410089,4,0,4,0,0,0,0,138750.0,569750.0
222,41,90,569850.0,138750.0,10410090,4,0,4,0,0,0,0,138750.0,569850.0
223,41,91,569950.0,138750.0,10410091,4,0,4,0,0,0,0,138750.0,569950.0
224,41,92,570050.0,138750.0,10410092,3,0,4,0,0,0,0,138750.0,570050.0
225,41,93,570150.0,138750.0,10410093,3,0,4,0,0,0,0,138750.0,570150.0
226,41,94,570250.0,138750.0,10410094,2,0,4,0,0,0,0,138750.0,570250.0
227,41,95,570350.0,138750.0,10410095,2,0,4,0,0,0,0,138750.0,570350.0
228,41,96,570450.0,138750.0,10410096,2,0,4,0,0,0,0,138750.0,570450.0
229,41,97,570550.0,138750.0,10410097,2,0,4,0,0,0,0,138750.0,570550.0
230,41,98,570650.0,138750.0,10410098,1,0,4,0,0,0,0,138750.0,570650.0
231,41,99,570750.0,138750.0,10410099,2,0,4,0,0,0,0,138750.0,570750.0
232,41,100,570850.0,138750.0,10410100,2,0,4,0,0,0,0,138750.0,570850.0
233,41,101,570950.0,138750.0,10410101,2,0,4,0,0,0,0,138750.0,570950.0
234,41,102,571050.0,138750.0,10410102,2,0,4,0,0,0,0,138750.0,571050.0
235,41,103,571150.0,138750.0,10410103,3,0,4,0,0,0,0,138750.0,571150.0
236,41,104,571250.0,138750.0,10410104,3,0,4,0,0,0,0,138750.0,571250.0
237,41,105,571350.0,138750.0,10410105,3,0,4,0,0,0,0,138750.0,571350.0
238,41,106,571450.0,138750.0,10410106,3,0,4,0,0,0,0,138750.0,571450.0
239,41,107,571550.0,138750.0,10410107,3,0,4,0,0,0,0,138750.0,571550.0
240,41,108,571650.0,138750.0,10410108,4,0,4,0,0,0,0,138750.0,571650.0
241,41,109,571750.0,138750.0,10410109,4,0,4,0,0,0,0,138750.0,571750.0
242,41,110,571850.0,138750.0,10410110,4,0,4,0,0,0,0,138750.0,571850.0
243,41,111,571950.0,138750.0,10410111,4,0,4,0,0,0,0,138750.0,571950.0
244,41,112,572050.0,138750.0,10410112,4,0,4,0,0,0,0,138750.0,572050.0
245,41,113,572150.0,138750.0,10410113,4,0,4,0,0,0,0,138750.0,572150.0
246,42,32,564050.0,138650.0,10420032,4,0,4,0,0,0,0,138650.0,564050.0
247,42,33,564150.0,138650.0,10420033,4,0,4,0,0,0,0,138650.0,564150.0
248,42,34,564250.0,138650.0,10420034,4,0,4,0,0,0,0,138650.0,564250.0
249,42,35,564350.0,138650.0,10420035,4,0,4,0,0,0,0,138650.0,564350.0
