,Unnamed: 0,row,col,x,y,row_col_id,s_mw_uumu,dist_m_mw_uumu,mw_near_mw_uumu,s_ext_uumu,dist_m_ew_uumu,ew_near_ew_uumu,s_mw_lucr,dist_m_mw_lucr,mw_near_mw_lucr,s_ext_lucr,dist_m_ew_lucr,ew_near_ew_lucr,s_cr_cs,neardist_m_cr_cs,cl_dist_m_cr_cs,combdist_m_cr_cs,plycnt_cr_cs,raw_s_cr_cs,s_tec_cs,neardist_m_tec_cs,cl_dist_m_tec_cs,combdist_m_tec_cs,plycnt_tec_cs,raw_s_tec_cs,s_ctet_cs,neardist_m_ctet_cs,cl_dist_m_ctet_cs,combdist_m_ctet_cs,plycnt_ctet_cs,raw_s_ctet_cs,NORTHING,EASTING,FID,ctet_uu_mu_mik_cv_score,ctet_uu_mu_mik_cov_score,ctet_uu_mu_mik_cv,ctet_uu_mu_mik_cov,ctet_lu_cr_mik_cv_score,ctet_lu_cr_mik_cov_score,ctet_lu_cr_mik_cv,ctet_lu_cr_mik_cov,hexcr_uu_mu_mik_cv_score,hexcr_uu_mu_mik_cov_score,hexcr_uu_mu_mik_cv,hexcr_uu_mu_mik_cov,hexcr_lu_cr_mik_cv_score,hexcr_lu_cr_mik_cov_score,hexcr_lu_cr_mik_cv,hexcr_lu_cr_mik_cov,tc99_uu_mu_mik_cv_score,tc99_uu_mu_mik_cov_score,tc99_uu_mu_mik_cv,tc99_uu_mu_mik_cov,tc99_lu_cr_mik_cv_score,tc99_lu_cr_mik_cov_score,tc99_lu_cr_mik_cv,tc99_lu_cr_mik_cov,hexcr_uumu_max_conc_2015_2022,hexcr_lucr_max_conc_2015_2022,hexcr_uumu_max_conc_2022_2027,hexcr_lucr_max_conc_2022_2027,hexcr_uumu_max_conc_2027_2032,hexcr_lucr_max_conc_2027_2032,hexcr_uumu_max_conc_2032_2037,hexcr_lucr_max_conc_2032_2037,hexcr_uumu_clean_level_exceedance_score,hexcr_lucr_clean_level_exceedance_score,tc99_uumu_max_conc_2015_2022,tc99_lucr_max_conc_2015_2022,tc99_uumu_max_conc_2022_2027,tc99_lucr_max_conc_2022_2027,tc99_uumu_max_conc_2027_2032,tc99_lucr_max_conc_2027_2032,tc99_uumu_max_conc_2032_2037,tc99_lucr_max_conc_2032_2037,tc99_uumu_clean_level_exceedance_score,tc99_lucr_clean_level_exceedance_score,ctet_uumu_max_conc_2015_2022,ctet_lucr_max_conc_2015_2022,ctet_uumu_max_conc_2022_2027,ctet_lucr_max_conc_2022_2027,ctet_uumu_max_conc_2027_2032,ctet_lucr_max_conc_2027_2032,ctet_uumu_max_conc_2032_2037,ctet_lucr_max_conc_2032_2037,ctet_uumu_clean_level_exceedance_score,ctet_lucr_clean_level_exceedance_score,ctet_uumu_tdg_s,ctet_lucr_tdg_s,hcr_uumu_tdg_s,hcr_lucr_tdg_s,tec_uumu_tdg_s,tec_lucr_tdg_s
5179,5179,102,45,565350.0,132650.0,11020045,4,1135.4927998891503,299-W26-16,0,2154.744443895848,299-W22-91,4,1862.6089784197773,299-W27-2,0,4115.8097993226265,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,565350.0,5179,3,3,4316.710491,2.670062143,2,2,19557.271,2.004434963,3,1,1588.792824,0.722536105,4,3,1108.239775,0.771184911,3,3,607503.6992,3.744990804,2,1,8688.897603,0.798868897,2.01e-20,2.9e-31,8e-19,2.2600000000000003e-27,2.89e-15,2.3000000000000003e-27,8.59e-12,1.1200000000000001e-22,0.0,0.0,1.0300000000000001e-26,2.02e-37,1.87e-25,2.65e-30,2.83e-14,5.49e-25,1.13e-10,1.6300000000000001e-21,0.0,0,5.44e-16,-1.67e-57,3.24e-15,-1.72e-27,3e-15,5.57e-23,1.53e-11,4.2400000000000005e-21,0.0,0.0,10.0,8.0,8.0,11.0,10.0,7
5180,5180,102,46,565450.0,132650.0,11020046,4,1050.9433374830876,299-W26-16,0,2083.403853913116,299-W22-91,4,1779.791787398169,299-W27-2,0,4049.421230768684,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,565450.0,5180,3,3,4358.492057,2.689189022,2,2,19575.04775,2.006402584,4,1,1731.075777,0.724616574,4,3,1108.239775,0.771184911,3,3,607143.6478,3.744528776,2,1,8672.252634,0.797960933,7.74e-18,1.0499999999999999e-30,2.43e-17,2.4e-26,1.11e-13,-1.93e-26,8.47e-11,4.5400000000000005e-22,0.0,0.0,1.27e-29,3.8599999999999994e-42,1.45e-17,2.65e-29,1.31e-12,1.6099999999999998e-24,1.09e-09,5.5100000000000004e-21,0.0,0,1.1e-15,8.38e-27,6.83e-16,1.29e-23,2.74e-11,1.35e-21,5.06e-10,4.08e-20,0.0,0.0,10.0,8.0,9.0,11.0,10.0,7
5181,5181,102,47,565550.0,132650.0,11020047,4,969.3399293333996,299-W26-16,0,2014.502325265479,299-W22-91,4,1698.824713291507,299-W27-2,0,3984.436510248363,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,565550.0,5181,3,3,4380.040236,2.70810341,2,2,19593.1892,2.008372621,4,1,1859.582369,0.723233384,4,3,1108.239775,0.771184911,3,3,600061.2953,3.737432354,2,1,8657.219599,0.797134408,6.22e-16,1.32e-26,8.01e-16,4.18e-26,1.31e-12,1.4599999999999998e-23,4.99e-10,1.1e-21,0.0,0.0,8.729999999999999e-23,4.75e-36,7.67e-16,2.91e-29,1.34e-11,2.18e-24,6.29e-09,2.16e-21,0.0,0,-2.08e-39,8.420000000000001e-27,3.98e-11,1.2499999999999999e-23,1.34e-09,2.42e-21,8.13e-09,6.49e-20,0.0,0.0,10.0,8.0,9.0,11.0,10.0,7
5182,5182,102,48,565650.0,132650.0,11020048,4,891.4919509451943,299-W26-16,0,1948.2986471534648,299-W22-91,4,1619.98518712054,299-W27-2,0,3920.925439765484,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,565650.0,5182,3,3,4367.860111,2.726352961,2,2,19611.56085,2.010321558,4,1,1970.62421,0.719400505,4,3,1108.239775,0.771184911,2,3,563844.3463,3.693515899,2,1,8644.07236,0.796405609,1.97e-14,3.66e-26,1.49e-13,9.35e-24,1.7e-11,4.13e-22,2.02e-09,5.64e-21,0.0,0.0,5.71e-25,1.63e-35,9.37e-15,5.31e-30,7.53e-11,2.3500000000000002e-26,2.47e-08,5.05e-26,0.0,0,1.73e-11,2e-26,1.06e-09,3.87e-23,1.47e-08,8.65e-22,6.43e-08,2.97e-20,0.0,0.0,10.0,8.0,9.0,11.0,9.0,7
5183,5183,102,49,565750.0,132650.0,11020049,4,818.471684666035,299-W26-16,0,1885.0770855591072,299-W22-91,4,1543.5992376552838,299-W27-2,0,3858.960780339721,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,565750.0,5183,3,3,4312.157402,2.750656619,2,2,19630.01401,2.012225925,4,1,2065.82935,0.714374766,4,3,1108.239775,0.771184911,2,3,503664.8275,3.612537786,2,1,8633.050907,0.795788875,6.76e-13,2.0799999999999997e-23,5.38e-11,-2.15e-22,3.89e-10,1.14e-20,6.29e-09,7.52e-20,0.0,0.0,8.07e-20,1.6599999999999998e-45,6.47e-14,-2.67e-33,2.8e-10,2.32e-23,7.17e-08,2.66e-20,0.0,0,6.53e-11,-4.13e-49,5.64e-09,-8.49e-24,7.57e-08,5.41e-20,3.08e-07,1.47e-18,0.0,0.0,10.0,8.0,9.0,11.0,9.0,7
5184,5184,102,50,565850.0,132650.0,11020050,3,751.6873675937666,299-W26-16,0,1825.147560746806,299-W22-91,4,1470.0493891328872,299-W27-2,0,3798.6182098494905,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,565850.0,5184,3,3,4208.76104,2.781526541,2,2,19642.67104,2.014469814,4,1,2147.092323,0.709292832,4,3,1108.239775,0.771184911,1,2,424365.0778,3.487042219,2,1,8624.357789,0.795296448,1.48e-11,5.120000000000001e-22,3.59e-09,9.69e-19,9.13e-09,9.81e-19,1.84e-08,-1.28e-17,0.0,0.0,6.76e-19,1.32e-31,1.96e-13,6.78e-25,6.89e-10,3.58e-21,1.6e-07,6.55e-18,0.0,0,2.05e-10,4.99e-22,1.81e-08,4.16e-19,2.48e-07,9.09e-18,1.03e-06,1.1e-16,0.0,0.0,9.0,8.0,8.0,11.0,6.0,7
5185,5185,102,51,565950.0,132650.0,11020051,3,690.6424703129388,699-32-77B,0,1768.8447129411938,299-W22-91,4,1399.7827711791483,299-W27-2,0,3739.976243801576,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,565950.0,5185,3,3,4070.304152,2.818319885,2,2,19594.14611,2.021136431,4,1,2216.55469,0.705213755,4,3,1108.239775,0.771184911,0,2,324215.2765,3.283757011,2,1,8618.162788,0.794971702,2.27e-10,1.09e-17,1.36e-07,4.22e-17,1.83e-07,-5.49e-17,1.43e-07,5.31e-16,0.0,0.0,5.92e-18,3.29e-30,6.69e-13,9.58e-24,1.48e-09,1.45e-19,2.95e-07,2.26e-16,0.0,0,4.54e-10,8.3e-21,4.25e-08,6.44e-18,6e-07,3.56e-16,2.58e-06,8.22e-15,0.0,0.0,9.0,8.0,8.0,11.0,5.0,7
5186,5186,102,52,566050.0,132650.0,11020052,3,629.7404400226881,699-32-77B,0,1716.5254494181006,299-W22-91,4,1333.3185690186638,299-W27-2,0,3683.116113320369,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,566050.0,5186,3,3,3910.936017,2.862094371,2,2,19488.64571,2.032999273,4,1,2275.61636,0.703699931,4,3,1108.239775,0.771184911,0,2,314446.8321,3.347677191,2,1,8614.589151,0.794841224,6.89e-07,5.53e-16,3.15e-06,4.7e-16,3.22e-06,1.87e-14,1.86e-06,2.82e-13,0.0,0.0,4.88e-17,2.83e-28,2.65e-12,1.13e-22,3.54e-09,8.48e-19,4.93e-07,9.82e-16,0.0,0,8.98e-10,4.2e-20,8.56e-08,3.64e-17,1.19e-06,2.22e-15,5.27e-06,5.27e-14,0.0,0.0,9.0,8.0,8.0,11.0,5.0,7
5187,5187,102,53,566150.0,132650.0,11020053,2,579.7922229557577,699-32-77B,0,1668.564538308306,299-W22-91,4,1271.2533211323298,299-W27-2,0,3628.121594461815,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,566150.0,5187,3,3,3719.934384,2.90673921,2,2,19323.387,2.048563571,4,1,2323.455278,0.706333102,4,3,1108.239775,0.771184911,0,2,301576.0016,3.430665255,2,1,8613.707031,0.794897017,3.46e-05,2.71e-19,4.58e-05,-1.23e-13,4.15e-05,3.98e-12,1.93e-05,1.64e-11,0.0,0.0,1.59e-16,1.8700000000000003e-27,8.11e-12,6.7e-22,8.48e-09,3.86e-18,8.11e-07,2.9e-15,0.0,0,1.89e-09,1.58e-19,1.67e-07,1.41e-16,2.11e-06,8.55e-15,9.19e-06,1.98e-13,0.0,0.0,8.0,8.0,7.0,11.0,4.0,7
5188,5188,102,54,566250.0,132650.0,11020054,2,543.8244402378301,699-32-77B,0,1625.347845385722,299-W22-91,4,1214.2617536964508,299-W27-2,0,3575.078782936138,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,566250.0,5188,3,3,3503.430427,2.942592625,2,2,19116.10639,2.066595602,4,1,2355.728438,0.714856534,4,3,1108.239775,0.771184911,0,3,287534.4504,3.526262948,2,1,8615.540167,0.795129167,0.000597316,2.6e-12,0.000596932,5.55e-11,0.00032524,2.25e-10,0.000135267,5.49e-10,0.0,0.0,3.68e-16,6.73e-27,2.14e-11,2.8000000000000004e-21,1.94e-08,1.52e-17,1.4e-06,8.1e-15,0.0,0,4.36e-09,3.45e-19,3.39e-07,4.98e-16,3.62e-06,2.89e-14,1.43e-05,6.13e-13,0.0,0.0,8.0,8.0,7.0,11.0,5.0,7
5189,5189,102,55,566350.0,132650.0,11020055,2,524.7199460664704,699-32-77B,0,1587.2629330076372,299-W22-91,4,1163.0899391233602,299-W27-2,0,3524.075808520602,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,566350.0,5189,2,3,3273.477116,2.958913106,1,2,18884.86725,2.085952003,4,1,2363.07824,0.730933389,4,3,1108.239775,0.771184911,0,3,275011.4141,3.622610385,2,1,8620.06589,0.795525882,0.00335836,7.16e-11,0.00322127,8.93e-10,0.001781183,2.97e-09,0.000679279,6.53e-09,0.0,0.0,6.49e-16,1.78e-26,4.73e-11,9.92e-21,3.81e-08,5.34e-17,2.21e-06,2.28e-14,0.0,0,1.03e-08,2.43e-18,6.41e-07,2.39e-15,5.54e-06,1.03e-13,1.85e-05,1.8e-12,0.0,0.0,7.0,7.0,7.0,11.0,5.0,7
5190,5190,102,56,566450.0,132650.0,11020056,2,524.3253015066217,699-32-77B,0,1554.6869840903682,299-W22-91,4,1118.5369043934058,299-W27-2,0,3475.202483913726,299-W13-5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,132650.0,566450.0,5190,2,3,3036.596015,2.945827671,1,3,18648.84065,2.105301627,4,1,2329.101647,0.75499209,4,3,1108.239775,0.771184911,0,3,265810.5993,3.706937199,2,1,8627.215921,0.796073583,0.008745769,3.29e-10,0.007070224,4.49e-09,0.005941667,1.55e-08,0.002544117,3.47e-08,0.0,0.0,1.79e-15,2.38e-28,5.51e-12,2.11e-20,7.42e-09,1.23e-16,7.32e-07,5.2e-14,0.0,0,2.98e-08,6.71e-17,2.99e-07,1.41e-14,2.87e-06,3.47e-13,1.39e-05,4.79e-12,0.0,0.0,7.0,8.0,7.0,11.0,5.0,7
