NAME,GWIA,easting_m_check,northing_m_check,Final_Assignment,HSU_source,elevation_m,tos_m,bos_m,mos_m,TYPE_scripts
299-W14-75,200-ZP,568000.13,136204.5,LU/CR,CP-67635,222.414,118.937448,76.271544,97.604496,EXTRACTION
299-W15-1,200-ZP,566554,135943,UU/MU,ECF-200ZP1-22-0098,206.4,136.1,124,130,MONITORING
299-W15-3,200-ZP,566729,136371,UU/MU,ECF-200ZP1-22-0098,205.2,144.3,133.3,138.8,MONITORING
299-W15-7,200-ZP,566675.883,135920.204,UU/MU,SGW-38815,204.249,148.7754,109.42572,129.10056,MONITORING
299-W15-11,200-ZP,566412.296,136000.716,UU/MU,SGW-38815,208.261,152.4826,117.7354,135.109,MONITORING
299-W15-15,200-ZP,566088.805,135751.493,UU/MU,CP-67635,213.162,145.1916,135.438,140.3148,MONITORING
299-W15-17,200-ZP,566306.891,135718.958,LU/CR,CP-67635,209.236,80.458,77.41,78.934,MONITORING
299-W15-30,200-ZP,566304.617,135748.936,UU/MU,SGW-38815,209.277,142.806216,130.6386,136.722408,MONITORING
299-W15-31A,200-ZP,566377,135856,UU/MU,ECF-200ZP1-22-0098,207.7,142.9,130.7,136.8,MONITORING
299-W15-33,200-ZP,566433.21,135966.08,UU/MU,ECF-200ZP1-22-0098,206.831,142.2896,127.906088,135.097844,MONITORING
299-W15-34,200-ZP,566613,135960,UU/MU,ECF-200ZP1-22-0098,204.9,140.7,125.5,133.1,MONITORING
299-W15-36,200-ZP,566774,135430,UU/MU,ECF-200ZP1-22-0098,203.9,139.6,124.6,132.1,MONITORING
299-W15-37,200-UP,566716.468,135248.316,UU/MU,SGW-38815,203.028,140.287968,125.21256,132.750264,MONITORING
299-W15-40,200-ZP,566652.502,136204.971,UU/MU,ECF-200ZP1-22-0098,205.06,138.62884,127.921216,133.275028,MONITORING
299-W15-42,200-ZP,566582,135627,UU/MU,ECF-200ZP1-22-0098,206.5,137,121.8,129.4,MONITORING
299-W15-43,200-ZP,566490,136210,UU/MU,ECF-200ZP1-22-0098,206.8,137.8,127.1,132.4,MONITORING
299-W15-44,200-ZP,566685.02,136066.47,UU/MU,ECF-200ZP1-22-0098,204.168,138.255,127.587,132.921,MONITORING
299-W15-46,200-ZP,566752.23,135586.67,UU/MU,SGW-38815,203.472,139.607256,115.241544,127.4244,MONITORING
299-W15-47,200-ZP,566776,135642,UU/MU,ECF-200ZP1-22-0098,202.7,136.1,117.8,127,MONITORING
299-W15-49,200-ZP,566307.2,135972.91,UU/MU,SGW-38815,208.383,136.523352,125.855352,131.189352,MONITORING
299-W15-50,200-ZP,566793.47,135790.72,UU/MU,SGW-38815,202.499,128.307632,117.645728,122.97668,MONITORING
299-W15-83,200-ZP,566304.52,135826.24,UU/MU,SGW-38815,208.953,137.325,126.650904,131.987952,MONITORING
299-W15-94,200-ZP,566307.58,135640.34,UU/MU,SGW-38815,209.41,137.44672,126.77872,132.11272,MONITORING
299-W15-152,200-ZP,566309.4,135550,UU/MU,SGW-38815,209.414,137.472056,126.804056,132.138056,MONITORING
299-W15-224,200-ZP,566307.89,135926.08,UU/MU,SGW-38815,208.314,136.5336,125.8656,131.1996,MONITORING
299-W15-225,200-ZP,566657.35,136108.93,UU/MU,SGW-38815,204.846,130.17,81.402,105.786,EXTRACTION
299-W15-231,200-ZP,566484.84,136212.92,UU/MU,CP-67635,206.876,134.239112,126.613016,130.426064,MONITORING
299-W15-232,200-ZP,566090.046,135729.045,UU/MU,CP-67635,213.137,137.915408,130.289312,134.10236,MONITORING
299-W15-763,200-ZP,566809.207,136028.763,UU/MU,SGW-38815,202.175,137.6336,126.944264,132.288932,MONITORING
299-W15-765,200-ZP,566697.02,136373.06,UU/MU,ECF-200ZP1-22-0098,204.505,137.449,126.781,132.115,MONITORING
299-W17-1,200-ZP,565310.68,135038.74,UU/MU,SGW-38815,198.406,139.418056,128.731768,134.074912,MONITORING
299-W17-2,200-ZP,566951.64,135806.21,UU/MU,SGW-38815,204.515,135.88928,84.051944,109.970612,EXTRACTION
299-W17-3,200-UP,566925.89,135325.02,UU/MU,SGW-38815,206.137,137.557,75.073,106.315,EXTRACTION
299-W18-1,200-ZP,566421.515,135465.21,UU/MU,ECF-200ZP1-22-0098,208.252,148.816,78.712,113.764,MONITORING
299-W18-6,200-ZP,566513,135413,-,ECF-200ZP1-22-0098,208.1,No Screened Interval,,,MONITORING
299-W18-7,200-ZP,566581,135410,UU/MU,ECF-200ZP1-22-0098,207.1,147.3,141.2,144.3,MONITORING
299-W18-15,200-UP,566380.033,134733.478,UU/MU,SGW-38815,202.219,150.403,129.18892,139.79596,MONITORING
299-W18-16,200-ZP,566605.05,135425.69,UU/MU,SGW-38815,207.887,136.4114,125.752544,131.081972,MONITORING
299-W18-21,200-UP,566097.7,134978.692,UU/MU,SGW-38815,204.253,144.6646,135.5206,140.0926,MONITORING
299-W18-22,200-UP,566088.632,134990.157,LU/CR,SGW-38815,204.249,77.2998,67.851,72.5754,MONITORING
299-W18-40,200-UP,566723.29,134996.41,UU/MU,SGW-38815,202.735,136.206304,125.535256,130.87078,MONITORING
299-W18-45,200-UP,566213.05,134976.94,UU/MU,CP-67635,207.707,137.014736,129.379496,133.197116,MONITORING
299-W18-46,200-UP,566333.51,135008.82,UU/MU,CP-67635,209.63,136.764512,129.138416,132.951464,MONITORING
299-W18-47,200-UP,566103.44,134978.72,UU/MU,CP-67635,204.59,138.536792,130.9046,134.720696,MONITORING
299-W18-260,200-UP,566862.54,135196.89,UU/MU,SGW-38815,205.052,131.970104,122.826104,127.398104,MONITORING
299-W18-261,200-UP,566625.427,135064.168,UU/MU,CP-67635,202.673,133.6358,126.003608,129.819704,MONITORING
299-W19-12,200-UP,566897,135059,UU/MU,ECF-200ZP1-22-0098,205.7,141.7,129.5,135.6,MONITORING
299-W19-18,200-UP,567361,135012,UU/MU,ECF-200ZP1-22-0098,213.5,143.4,129.7,136.5,MONITORING
299-W19-34A,200-UP,567673.637,135012.246,UU/MU,SGW-38815,214.508,115.69184,110.99792,113.34488,MONITORING
299-W19-34B,200-UP,567662.876,135010.654,UU/MU,SGW-38815,214.51,89.048224,86.100808,87.574516,MONITORING
299-W19-35,200-UP,567992,135015,UU/MU,ECF-200ZP1-22-0098,212.9,139.8,130.6,135.2,MONITORING
299-W19-36,200-UP,567634.738,135017.052,UU/MU,SGW-38815,214.901,140.27072,126.5852,133.42796,MONITORING
299-W19-39,200-UP,567901.739,134886.74,UU/MU,SGW-38815,210.463,139.145896,123.88456,131.515228,MONITORING
299-W19-101,200-UP,567939.14,135014.07,UU/MU,SGW-38815,213.379,134.121856,123.453856,128.787856,MONITORING
299-W19-105,200-UP,567565.15,134745.44,UU/MU,SGW-38815,212.955,135.17004,124.462416,129.816228,MONITORING
299-W19-107,200-UP,567997.87,135205.66,UU/MU,SGW-38815,216.669,122.016408,117.44136,119.728884,MONITORING
299-W19-111,200-UP,567313.04,135547.02,UU/MU,SGW-38815,214.261,125.957392,89.381392,107.669392,EXTRACTION
299-W19-113,200-UP,567689.62,135008.2,UU/MU,SGW-38815,214.537,127.355056,104.507248,115.931152,EXTRACTION
299-W19-114,200-UP,567901.89,135013.21,UU/MU,SGW-38815,213.674,128.08616,105.22616,116.65616,EXTRACTION
299-W19-115,200-UP,567371.99,135011.96,UU/MU,SGW-38815,213.374,129.49304,118.815896,124.154468,MONITORING
299-W19-116,200-UP,568510.19,135090.16,UU/MU,SGW-38815,217.673,130.07348,119.399384,124.736432,MONITORING
299-W19-123,200-UP,567511.71,134988.14,UU/MU,CP-67635,214.366,130.963576,80.662432,105.813004,EXTRACTION
299-W19-125,200-UP,567720.14,135090.85,UU/MU,SGW-38815,215.628,130.896648,85.484496,108.190572,EXTRACTION
299-W19-126,200-UP,567397.26,135101.2,UU/MU,ECF-200ZP1-22-0098,214.883,131.986544,84.76388,108.375212,MONITORING
299-W19-127,200-UP,567036.73,135110.71,UU/MU,CP-67635,210.173,132.366704,121.668224,127.017464,MONITORING
299-W19-128,200-UP,567002.55,135254.98,UU/MU,CP-67635,209.737,130.91572,121.75648,126.3361,MONITORING
299-W19-131,200-UP,568060.13,135008.14,UU/MU,ECF-200ZP1-22-0098,213.056,130.080296,123.984296,127.032296,MONITORING
