Well_Name,GWIA,EASTING,NORTHING,Coordinate_Source,Elevation_m,TOS_m,BOS_m,MOS_m,Source_Elevation_Source,Top_of_RLM_m,Top_of_Rwia_m,Top_of_Basalt_m,HSU_Assignment,Misc_Notes,Flag_to_Check
299-W15-83,200-ZP-1,566305,135826,HEIS Database,209,137.3,126.7,132,HEIS Database,75.3,59.9,44.4,UU/MU,None,FALSE
299-W15-94,200-ZP-1,566308,135640,HEIS Database,209.4,137.4,126.8,132.1,HEIS Database,74,59,42.2,UU/MU,None,FALSE
299-W17-1,200-ZP-1,565311,135039,HEIS Database,198.4,139.4,128.7,134.1,HEIS Database,69.3,47.9,21,UU/MU,None,FALSE
299-W17-2,200-ZP-1,566952,135806,HEIS Database,204.5,135.9,84.1,110,HEIS Database,79.9,68.3,49.6,UU/MU,None,FALSE
299-W17-3,200-UP-1,566926,135325,HEIS Database,206.1,137.6,75.1,106.3,HEIS Database,71.7,60.5,42,UU/MU,None,FALSE
299-W18-1,200-ZP-1,566422,135465,HEIS Database,208.3,148.8,97.3,123.1,HEIS Database,72.9,58.5,40.9,UU/MU,None,FALSE
299-W18-15,200-UP-1,566380,134733,HEIS Database,201.8,150,128.7,139.3,HEIS Database,69.5,54.7,32,UU/MU,None,FALSE
299-W18-16,200-ZP-1,566605,135426,HEIS Database,207.9,136.4,125.8,131.1,HEIS Database,72.8,58.3,41.6,UU/MU,None,FALSE
299-W18-21,200-UP-1,566098,134979,HEIS Database,204.3,144.7,135.5,140.1,HEIS Database,69.6,58.1,31.6,UU/MU,None,FALSE
299-W18-22,200-UP-1,566089,134990,HEIS Database,204.2,77.3,67.9,72.6,HEIS Database,69.8,58.2,31.6,UU/MU,None,FALSE
299-W18-260,200-UP-1,566863,135197,HEIS Database,205.1,132,122.8,127.4,HEIS Database,70.5,59.4,40.6,UU/MU,None,FALSE
299-W18-40 ,200-UP-1,566723,134996,HEIS Database,202.7,136.2,125.5,130.9,HEIS Database,69.4,57.9,37.8,UU/MU,None,FALSE
299-W18-6,200-ZP-1,566513,135413,HEIS Database,208.1,208.1,162.7290545,117.3581089,"Well Log- 299- WIS- 6-
NA_[W00288
82].pdf",72.5,58.3,40.8,-,"No screened interval; perforated casing 0-85,
100-115, and 190-298 ft",TRUE
299-W18-7,200-ZP-1,566581,135410,HEIS Database,207.1,147.3,141.2,144.3,HEIS Database,72.6,58.3,41.3,UU/MU,None,FALSE
299-W19-101,200-UP-1,567939,135014,HEIS Database,213.4,134.1,123.5,128.8,HEIS Database,81.9,71.4,43.7,UU/MU,None,FALSE
299-W19-105,200-UP-1,567565,134745,HEIS Database,213,135.2,124.5,129.8,HEIS Database,74.8,63.1,41.1,UU/MU,None,FALSE
299-W19-107,200-UP-1,567998,135206,HEIS Database,216.7,122,117.4,119.7,HEIS Database,83.1,74.8,47.3,UU/MU,None,FALSE
299-W19-113,200-UP-1,567690,135008,HEIS Database,214.5,127.4,104.5,115.9,HEIS Database,81.9,67.6,44.2,UU/MU,None,FALSE
299-W19-114,200-UP-1,567902,135013,HEIS Database,213.7,128.1,105.2,116.7,HEIS Database,82.1,70.8,43.9,UU/MU,None,FALSE
299-W19-115,200-UP-1,567372,135012,HEIS Database,213.4,129.5,118.8,124.2,HEIS Database,76.5,64,41.9,UU/MU,None,FALSE
299-W19-116,200-UP-1,568510,135090,HEIS Database,217.7,130.1,119.4,124.7,HEIS Database,81.9,80.4,39.4,UU/MU,None,FALSE
299-W19-12,200-UP-1,566897,135059,HEIS Database,205.7,141.7,129.5,135.6,HEIS Database,70.3,59.7,39.6,UU/MU,None,FALSE
299-W19-123,200-UP-1,567512,134988,HEIS Database,214.4,95.9,80.7,88.3,HEIS Database,78.2,65.1,42.7,UU/MU,None,FALSE
299-W19-125,200-UP-1,567720,135091,HEIS Database,215.6,130.9,85.5,108.2,HEIS Database,84.1,68.9,44.9,UU/MU,None,FALSE
299-W19-126,200-UP-1,567397,135101,HEIS Database,214.9,118.3,84.8,101.5,HEIS Database,78.7,65,42.5,UU/MU,None,FALSE
299-W19-131,200-UP-1,568060,135008,HEIS Database,213.1,130.1,124,127,HEIS Database,81.3,73.2,42.3,UU/MU,None,FALSE
299-W19-18,200-UP-1,567361,135012,HEIS Database,213.5,143.4,129.7,136.5,HEIS Database,76.3,63.9,41.8,UU/MU,None,FALSE
299-W19-34A,200-UP-1,567674,135012,HEIS Database,214.5,115.7,111,113.3,HEIS Database,81.9,67.4,44.2,UU/MU,None,FALSE
299-W19-34B,200-UP-1,567663,135011,HEIS Database,214.5,89,86.1,87.6,HEIS Database,81.7,67.2,44.1,UU/MU,None,FALSE
299-W19-35,200-UP-1,567992,135015,HEIS Database,212.9,139.8,130.6,135.2,HEIS Database,81.6,72.2,43.2,UU/MU,None,FALSE
299-W19-36,200-UP-1,567635,135017,HEIS Database,214.9,132.7,126.6,129.6,HEIS Database,81.3,66.9,44,UU/MU,None,FALSE
299-W19-39,200-UP-1,567902,134887,HEIS Database,210.5,139.1,123.9,131.5,HEIS Database,80,69.5,42,UU/MU,None,FALSE
299-W19-4,200-UP-1,567950,135351,HEIS Database,218.7,141,116.6,128.8,HEIS Database,83.5,76.6,51.2,UU/MU,None,FALSE
299-W19-41,200-UP-1,566897,135005,HEIS Database,205.8,138.7,128,133.4,HEIS Database,70,59.5,39.2,UU/MU,None,FALSE
299-W19-42,200-UP-1,566897,135123,HEIS Database,205.5,138.4,127.7,133,HEIS Database,70.5,59.8,40.1,UU/MU,None,FALSE
299-W19-43 ,200-UP-1,567699,135004,HEIS Database,214.4,135.9,125.2,130.5,HEIS Database,81.9,67.7,44.1,UU/MU,None,FALSE
299-W19-44,200-UP-1,566897,135042,HEIS Database,206.5,136.4,125.8,131.1,HEIS Database,70.2,59.6,39.5,UU/MU,None,FALSE
299-W19-45,200-UP-1,566898,135088,HEIS Database,205.7,137.3,126.7,132,HEIS Database,70.4,59.7,39.8,UU/MU,None,FALSE
299-W19-46,200-UP-1,567783,134842,HEIS Database,213.4,135.7,125,130.3,HEIS Database,78.7,67.2,42.2,UU/MU,None,FALSE
299-W19-47,200-UP-1,566895,135162,HEIS Database,205.6,136.3,125.7,131,HEIS Database,70.6,59.8,40.4,UU/MU,None,FALSE
299-W19-48,200-UP-1,567823,134926,HEIS Database,212.1,132.3,121.5,126.9,HEIS Database,80.7,68.7,43,UU/MU,None,FALSE
299-W19-49,200-UP-1,567568,134894,HEIS Database,213.4,134.3,123.7,129,HEIS Database,77.3,64.8,42.4,UU/MU,None,FALSE
299-W19-6,200-UP-1,567133,134694,HEIS Database,209.6,93.8,84.3,89,HEIS Database,70.4,58.2,38.5,UU/MU,None,FALSE
299-W20-1,200-UP-1,568220,135054,HEIS Database,214.8,130.1,121,125.5,HEIS Database,81.2,75.9,40.8,UU/MU,None,FALSE
299-W21-2,200-UP-1,568124,134574,HEIS Database,214.1,134.8,124.2,129.5,HEIS Database,78.1,70.2,37.5,UU/MU,None,FALSE
299-W21-3,200-UP-1,568571,133980,HEIS Database,212.8,119.9,113.8,116.8,HEIS Database,84.6,75.2,30.5,UU/MU,None,FALSE
299-W22-10,200-UP-1,567013,134215,HEIS Database,205.3,143.4,130.9,137.2,HEIS Database,66.3,43.2,31.5,UU/MU,None,FALSE
299-W22-113,200-UP-1,566905,134193,HEIS Database,204,132.7,123.6,128.2,HEIS Database,65.4,40.9,30.2,UU/MU,None,FALSE
299-W22-114,200-UP-1,567726,134048,HEIS Database,207.6,131.4,120.7,126,HEIS Database,70.2,59.1,32.4,UU/MU,None,FALSE
299-W22-115,200-UP-1,566939,134292,HEIS Database,203.6,133.3,122.6,127.9,HEIS Database,66.4,44,31.9,UU/MU,None,FALSE
299-W22-116,200-UP-1,566901,134140,HEIS Database,204.2,132.5,121.9,127.2,HEIS Database,65.3,39.9,29.5,UU/MU,None,FALSE
299-W22-20,200-UP-1,567593,133879,HEIS Database,207.1,144.6,116,130.3,HEIS Database,71.4,55.6,30.3,UU/MU,None,FALSE
299-W22-24P,200-UP-1,567648,134411,HEIS Database,211.5,40.2,38.7,39.4,HEIS Database,70.4,60.4,37.8,LU/CR,None,FALSE
299-W22-24R,200-UP-1,567648,134411,HEIS Database,211.5,79.8,78.3,79.1,HEIS Database,70.4,60.4,37.8,UU/MU,None,FALSE
299-W22-24S,200-UP-1,567648,134411,HEIS Database,211.5,98.1,96.6,97.3,HEIS Database,70.4,60.4,37.8,UU/MU,None,FALSE
299-W22-24T,200-UP-1,567648,134411,HEIS Database,211.5,116.4,114.9,115.6,HEIS Database,70.4,60.4,37.8,UU/MU,None,FALSE
299-W22-44,200-UP-1,566956,134484,HEIS Database,206.7,144.2,133,138.6,HEIS Database,68.2,50.4,34.6,UU/MU,None,FALSE
299-W22-45,200-UP-1,566945,134293,HEIS Database,203.1,142.8,131.9,137.3,HEIS Database,66.4,44.1,32,UU/MU,None,FALSE
299-W22-47,200-UP-1,566909,134076,HEIS Database,205.5,135.8,125.2,130.5,HEIS Database,66.3,39.6,28.7,UU/MU,None,FALSE
299-W22-49,200-UP-1,566904,134202,HEIS Database,203.9,137.5,132.9,135.2,HEIS Database,65.4,41.2,30.4,UU/MU,None,FALSE
299-W22-50,200-UP-1,566904,134140,HEIS Database,204.1,137.7,133.1,135.4,HEIS Database,65.3,39.9,29.5,UU/MU,None,FALSE
299-W22-69,200-UP-1,567180,134348,HEIS Database,207.3,134.7,124,129.4,HEIS Database,68.9,50,34.6,UU/MU,None,FALSE
299-W22-72,200-UP-1,567237,134207,HEIS Database,207.3,135.1,124.4,129.8,HEIS Database,68.5,48.7,33,UU/MU,None,FALSE
299-W22-79,200-UP-1,567630,134465,HEIS Database,210.9,137,126.4,131.7,HEIS Database,70.9,60.7,38.5,UU/MU,None,FALSE
299-W22-80,200-UP-1,566843,134126,HEIS Database,200,137.5,126.8,132.1,HEIS Database,65.7,39.6,28.8,UU/MU,None,FALSE
299-W22-81,200-UP-1,567000,134354,HEIS Database,205.9,136.8,126.1,131.5,HEIS Database,67.5,46.9,33.3,UU/MU,None,FALSE
