NAME_norm,CTET_avg_conc,XCOORDS,YCOORDS,NAME,Final_Assignment
299-W22-84,25.0,566978.76,134547.62,299-W22-84,UU/MU
299-W22-84,25.0,566978.76,134547.62,299-W22-84,UU/MU
299-W22-85,26.0,566902.9,134260.58,299-W22-85,UU/MU
299-W22-86,18.9,567186.74,134041.31,299-W22-86,UU/MU
299-W22-87,30.25,567541.75,134539.88,299-W22-87,UU/MU
299-W22-88,3.24,568046.48,134390.53,299-W22-88,UU/MU
299-W22-93,36.95,566949.07,134485.98,299-W22-93,UU/MU
299-W22-93,36.95,566949.07,134485.98,299-W22-93,UU/MU
299-W22-94,37.0,567009.82,134429.75,299-W22-94,UU/MU
299-W22-95,75.3,567170.54,134549.11,299-W22-95,UU/MU
299-W23-19,23.46,566759.115,134166.653,299-W23-19,UU/MU
299-W23-20,13.3,566717.669,134446.189,299-W23-20,UU/MU
299-W23-21,18.13,566707.737,134293.994,299-W23-21,UU/MU
299-W23-4,12.7,566628.216,134391.881,299-W23-4,UU/MU
299-W26-13,0.33,566424.387,133293.598,299-W26-13,UU/MU
299-W26-14,1.93,566682.69,133539.21,299-W26-14,UU/MU
299-W26-15,0.64,566575.83,133391.21,299-W26-15,UU/MU
299-W26-15,0.64,566575.83,133391.21,299-W26-15,UU/MU
299-W26-15,0.64,566575.83,133391.21,299-W26-15,UU/MU
299-W26-16,0.33,566324.31,133233.15,299-W26-16,UU/MU
299-W27-2,2.53,566908.267,133670.351,299-W27-2,LU/CR
299-W27-3,4.3,566923.55,133756.88,299-W27-3,UU/MU
299-W5-2Q,320.5,568175.4,137621.12,299-W5-2Q,LU/CR
299-W6-17,46.55,567767.41,137473.37,299-W6-17,LU/CR
299-W6-3,0.55,567118.18,137299.13,299-W6-3,LU/CR
299-W6-6,0.33,567318.74,137638.72,299-W6-6,LU/CR
299-W7-15,25.25,566772.11,137635.28,299-W7-15,UU/MU
299-W7-15,25.25,566772.11,137635.28,299-W7-15,UU/MU
299-W7-16,2.76,566085.14,137265.57,299-W7-16,UU/MU
299-W7-16,2.76,566085.14,137265.57,299-W7-16,UU/MU
299-W7-3,0.32,566292.031,137638.641,299-W7-3,LU/CR
299-W9-2,1.79,565742.21,136872.84,299-W9-2,UU/MU
699-30-66,0.44,569990.98,132739.19,699-30-66,LU/CR
699-32-62,0.33,571009.564,133215.925,699-32-62,UU/MU
699-32-72A,0.94,567942.676,133362.612,699-32-72A,UU/MU
699-32-76,0.33,566683.94,133137.73,699-32-76,UU/MU
699-32-77B,0.33,566402.07,133172.13,699-32-77B,UU/MU
699-32-77B,0.33,566402.07,133172.13,699-32-77B,UU/MU
699-33-75,2.4,566907.78,133662.48,699-33-75,UU/MU
699-33-76,2.28,566621.21,133600.43,699-33-76,UU/MU
699-34-61,0.5,571395.863,133809.862,699-34-61,UU/MU
699-35-66A,0.61,569857.861,134099.244,699-35-66A,UU/MU
699-35-70C,1.18,568458.619,134298.706,699-35-70C,UU/MU
699-35-78A,3.17,566063.586,134271.27,699-35-78A,UU/MU
699-36-61A,0.33,571395.472,134557.106,699-36-61A,UU/MU
699-36-63B,1.03,570683.53,134228.69,699-36-63B,UU/MU
699-36-65,1.75,570034.24,134468.75,699-36-65,UU/MU
699-36-66B,2.85,569731.34,134469.01,699-36-66B,UU/MU
699-36-70A,1.06,568466.679,134308.839,699-36-70A,UU/MU
699-36-70B,6.72,568427.79,134625.98,699-36-70B,UU/MU
