NAME_norm,Tc99_avg_conc,XCOORDS,YCOORDS,NAME,Final_Assignment
299-W26-14,5.53,566682.69,133539.21,299-W26-14,UU/MU
299-W26-15,50.0,566575.83,133391.21,299-W26-15,UU/MU
299-W26-15,50.0,566575.83,133391.21,299-W26-15,UU/MU
299-W26-15,50.0,566575.83,133391.21,299-W26-15,UU/MU
299-W5-2Q,284.0,568175.4,137621.12,299-W5-2Q,LU/CR
299-W6-17,95.5,567767.41,137473.37,299-W6-17,LU/CR
299-W6-3,60.4,567118.18,137299.13,299-W6-3,LU/CR
299-W6-6,95.8,567318.74,137638.72,299-W6-6,LU/CR
299-W7-15,50.0,566772.11,137635.28,299-W7-15,UU/MU
299-W7-15,50.0,566772.11,137635.28,299-W7-15,UU/MU
299-W7-16,37.5,566085.14,137265.57,299-W7-16,UU/MU
299-W7-16,37.5,566085.14,137265.57,299-W7-16,UU/MU
299-W7-3,70.9,566292.031,137638.641,299-W7-3,LU/CR
299-W7-4,51.7,566408.771,137308.243,299-W7-4,UU/MU
299-W9-2,50.0,565742.21,136872.84,299-W9-2,UU/MU
699-19-88,50.0,563131.105,129413.881,699-19-88,UU/MU
699-32-62,49.2,571009.564,133215.925,699-32-62,UU/MU
699-32-70B,203.0,568461.999,133242.245,699-32-70B,UU/MU
699-32-76,5.75,566683.94,133137.73,699-32-76,UU/MU
699-33-74,41.6,567472.65,133552.16,699-33-74,UU/MU
699-33-75,2.8,566907.78,133662.48,699-33-75,UU/MU
699-33-76,50.0,566621.21,133600.43,699-33-76,UU/MU
699-34-72,363.0,567859.97,133785.33,699-34-72,UU/MU
699-35-66A,130.0,569857.861,134099.244,699-35-66A,UU/MU
699-35-70C,21.62,568458.619,134298.706,699-35-70C,UU/MU
699-36-61A,100.0,571395.472,134557.106,699-36-61A,UU/MU
699-36-65,55.1,570034.24,134468.75,699-36-65,UU/MU
699-36-66B,55.45,569731.34,134469.01,699-36-66B,UU/MU
699-36-70A,71.6,568466.679,134308.839,699-36-70A,UU/MU
699-36-70B,123.0,568427.79,134625.98,699-36-70B,UU/MU
699-37-66,48.65,569730.32,134797.15,699-37-66,UU/MU
699-37-67,82.85,569520.26,134957.52,699-37-67,UU/MU
699-38-61,100.05,571219.097,134997.282,699-38-61,UU/MU
699-38-65,123.0,570090.185,135039.847,699-38-65,UU/MU
699-38-70B,201.0,568469.1,135331.04,699-38-70B,UU/MU
699-38-70C,896.0,569084.11,135325.58,699-38-70C,LU/CR
699-39-68,186.0,569077.9,135332.77,699-39-68,UU/MU
699-40-65,598.0,570057.48,135881.16,699-40-65,UU/MU
699-43-69,69.2,568967.03,136488.48,699-43-69,UU/MU
699-44-64,45.3,570390.65,136897.43,699-44-64,UU/MU
699-44-70B,50.0,568670.06,136810.37,699-44-70B,LU/CR
699-45-67C,36.9,569431.19,137131.75,699-45-67C,LU/CR
699-45-67C,36.9,569431.19,137131.75,699-45-67C,LU/CR
699-45-69C,94.1,568947.12,137233.81,699-45-69C,LU/CR
699-46-61,50.0,571431.17,137442.38,699-46-61,UU/MU
699-46-61,50.0,571431.17,137442.38,699-46-61,UU/MU
699-46-70,132.0,568697.17,137656.02,699-46-70,LU/CR
699-46-70,132.0,568697.17,137656.02,699-46-70,LU/CR
699-47-60,50.0,571474.38,137968.732,699-47-60,UU/MU
699-47-60,50.0,571474.38,137968.732,699-47-60,UU/MU
699-48-71,78.5,568387.914,138056.941,699-48-71,UU/MU
699-48-96,50.0,560516.991,138355.269,699-48-96,UU/MU
699-49-100C,50.0,559303.736,138503.233,699-49-100C,UU/MU
699-49-79,50.0,565771.123,138271.108,699-49-79,UU/MU
699-51-75,50.0,566978.076,138906.286,699-51-75,UU/MU
699-55-76,50.0,566723.421,140225.816,699-55-76,UU/MU
