pw_id,row,col,x,y,outfile
PW-0731,47,106,571450.0,138150.0,data\breakthroughcurves\PW-0731_r0047_c0106.png
PW-0736,47,111,571950.0,138150.0,data\breakthroughcurves\PW-0736_r0047_c0111.png
PW-0741,48,34,564250.0,138050.0,data\breakthroughcurves\PW-0741_r0048_c0034.png
PW-0746,48,39,564750.0,138050.0,data\breakthroughcurves\PW-0746_r0048_c0039.png
PW-0751,48,44,565250.0,138050.0,data\breakthroughcurves\PW-0751_r0048_c0044.png
PW-0756,48,49,565750.0,138050.0,data\breakthroughcurves\PW-0756_r0048_c0049.png
PW-0761,48,54,566250.0,138050.0,data\breakthroughcurves\PW-0761_r0048_c0054.png
PW-0766,48,59,566750.0,138050.0,data\breakthroughcurves\PW-0766_r0048_c0059.png
PW-0771,48,64,567250.0,138050.0,data\breakthroughcurves\PW-0771_r0048_c0064.png
PW-0776,48,69,567750.0,138050.0,data\breakthroughcurves\PW-0776_r0048_c0069.png
PW-0781,48,74,568250.0,138050.0,data\breakthroughcurves\PW-0781_r0048_c0074.png
PW-0786,48,79,568750.0,138050.0,data\breakthroughcurves\PW-0786_r0048_c0079.png
PW-0791,48,84,569250.0,138050.0,data\breakthroughcurves\PW-0791_r0048_c0084.png
PW-0796,48,89,569750.0,138050.0,data\breakthroughcurves\PW-0796_r0048_c0089.png
PW-0801,48,94,570250.0,138050.0,data\breakthroughcurves\PW-0801_r0048_c0094.png
PW-0806,48,99,570750.0,138050.0,data\breakthroughcurves\PW-0806_r0048_c0099.png
PW-0811,48,104,571250.0,138050.0,data\breakthroughcurves\PW-0811_r0048_c0104.png
PW-0816,48,109,571750.0,138050.0,data\breakthroughcurves\PW-0816_r0048_c0109.png
PW-0821,49,32,564050.0,137950.0,data\breakthroughcurves\PW-0821_r0049_c0032.png
PW-0826,49,37,564550.0,137950.0,data\breakthroughcurves\PW-0826_r0049_c0037.png
PW-0831,49,42,565050.0,137950.0,data\breakthroughcurves\PW-0831_r0049_c0042.png
PW-0836,49,47,565550.0,137950.0,data\breakthroughcurves\PW-0836_r0049_c0047.png
PW-0841,49,52,566050.0,137950.0,data\breakthroughcurves\PW-0841_r0049_c0052.png
PW-0846,49,57,566550.0,137950.0,data\breakthroughcurves\PW-0846_r0049_c0057.png
PW-0851,49,62,567050.0,137950.0,data\breakthroughcurves\PW-0851_r0049_c0062.png
PW-0856,49,67,567550.0,137950.0,data\breakthroughcurves\PW-0856_r0049_c0067.png
PW-0861,49,72,568050.0,137950.0,data\breakthroughcurves\PW-0861_r0049_c0072.png
PW-0866,49,77,568550.0,137950.0,data\breakthroughcurves\PW-0866_r0049_c0077.png
PW-0871,49,82,569050.0,137950.0,data\breakthroughcurves\PW-0871_r0049_c0082.png
PW-0876,49,87,569550.0,137950.0,data\breakthroughcurves\PW-0876_r0049_c0087.png
PW-0881,49,92,570050.0,137950.0,data\breakthroughcurves\PW-0881_r0049_c0092.png
PW-0886,49,97,570550.0,137950.0,data\breakthroughcurves\PW-0886_r0049_c0097.png
PW-0891,49,102,571050.0,137950.0,data\breakthroughcurves\PW-0891_r0049_c0102.png
PW-0896,49,107,571550.0,137950.0,data\breakthroughcurves\PW-0896_r0049_c0107.png
PW-0901,49,112,572050.0,137950.0,data\breakthroughcurves\PW-0901_r0049_c0112.png
PW-0906,50,35,564350.0,137850.0,data\breakthroughcurves\PW-0906_r0050_c0035.png
PW-0911,50,40,564850.0,137850.0,data\breakthroughcurves\PW-0911_r0050_c0040.png
PW-0916,50,45,565350.0,137850.0,data\breakthroughcurves\PW-0916_r0050_c0045.png
PW-0921,50,50,565850.0,137850.0,data\breakthroughcurves\PW-0921_r0050_c0050.png
PW-0926,50,55,566350.0,137850.0,data\breakthroughcurves\PW-0926_r0050_c0055.png
PW-0931,50,60,566850.0,137850.0,data\breakthroughcurves\PW-0931_r0050_c0060.png
PW-0936,50,65,567350.0,137850.0,data\breakthroughcurves\PW-0936_r0050_c0065.png
PW-0941,50,70,567850.0,137850.0,data\breakthroughcurves\PW-0941_r0050_c0070.png
PW-0946,50,75,568350.0,137850.0,data\breakthroughcurves\PW-0946_r0050_c0075.png
PW-0951,50,80,568850.0,137850.0,data\breakthroughcurves\PW-0951_r0050_c0080.png
PW-0956,50,85,569350.0,137850.0,data\breakthroughcurves\PW-0956_r0050_c0085.png
PW-0961,50,90,569850.0,137850.0,data\breakthroughcurves\PW-0961_r0050_c0090.png
PW-0966,50,95,570350.0,137850.0,data\breakthroughcurves\PW-0966_r0050_c0095.png
PW-0971,50,100,570850.0,137850.0,data\breakthroughcurves\PW-0971_r0050_c0100.png
PW-0976,50,105,571350.0,137850.0,data\breakthroughcurves\PW-0976_r0050_c0105.png
PW-0981,50,110,571850.0,137850.0,data\breakthroughcurves\PW-0981_r0050_c0110.png
PW-0986,51,33,564150.0,137750.0,data\breakthroughcurves\PW-0986_r0051_c0033.png
PW-0991,51,38,564650.0,137750.0,data\breakthroughcurves\PW-0991_r0051_c0038.png
